lambda,dlambda,enthalpy
9.937065e-01,-1.316603e-05,-3.189451e+01
9.936933e-01,-1.316568e-05,-3.189453e+01
9.936801e-01,-1.316534e-05,-3.189455e+01
9.936670e-01,-1.316499e-05,-3.189457e+01
9.936538e-01,-1.316464e-05,-3.189459e+01
9.936406e-01,-1.316429e-05,-3.189461e+01
9.936275e-01,-1.316394e-05,-3.189463e+01
9.936143e-01,-1.316359e-05,-3.189465e+01
9.936011e-01,-1.316324e-05,-3.189466e+01
9.935880e-01,-1.316289e-05,-3.189467e+01
9.935748e-01,-1.316255e-05,-3.189468e+01
9.935617e-01,-1.316220e-05,-3.189469e+01
9.935485e-01,-1.316185e-05,-3.189470e+01
9.935353e-01,-1.316150e-05,-3.189471e+01
9.935222e-01,-1.316115e-05,-3.189471e+01
9.935090e-01,-1.316080e-05,-3.189471e+01
9.934958e-01,-1.316045e-05,-3.189471e+01
9.934827e-01,-1.316010e-05,-3.189470e+01
9.934695e-01,-1.315976e-05,-3.189470e+01
9.934564e-01,-1.315941e-05,-3.189469e+01
9.934432e-01,-1.315906e-05,-3.189468e+01
9.934301e-01,-1.315871e-05,-3.189467e+01
9.934169e-01,-1.315836e-05,-3.189465e+01
9.934037e-01,-1.315801e-05,-3.189463e+01
9.933906e-01,-1.315766e-05,-3.189461e+01
9.933774e-01,-1.315732e-05,-3.189459e+01
9.933643e-01,-1.315697e-05,-3.189457e+01
9.933511e-01,-1.315662e-05,-3.189454e+01
9.933379e-01,-1.315627e-05,-3.189451e+01
9.933248e-01,-1.315592e-05,-3.189449e+01
9.933116e-01,-1.315557e-05,-3.189446e+01
9.932985e-01,-1.315522e-05,-3.189442e+01
9.932853e-01,-1.315488e-05,-3.189439e+01
9.932722e-01,-1.315453e-05,-3.189436e+01
9.932590e-01,-1.315418e-05,-3.189432e+01
9.932459e-01,-1.315383e-05,-3.189429e+01
9.932327e-01,-1.315348e-05,-3.189425e+01
9.932196e-01,-1.315313e-05,-3.189421e+01
