lambda,dlambda,pe,espring
2.346738e-11,4.109244e-13,-3.189649e+01,3.932839e-02
2.388119e-11,4.167055e-13,-3.189653e+01,3.930544e-02
2.430081e-11,4.225472e-13,-3.189657e+01,3.928372e-02
2.472630e-11,4.284501e-13,-3.189660e+01,3.926194e-02
2.515773e-11,4.344144e-13,-3.189664e+01,3.923917e-02
2.559515e-11,4.404407e-13,-3.189667e+01,3.921463e-02
2.603863e-11,4.465293e-13,-3.189671e+01,3.919371e-02
2.648823e-11,4.526807e-13,-3.189675e+01,3.916875e-02
2.694401e-11,4.588953e-13,-3.189679e+01,3.914172e-02
2.740604e-11,4.651736e-13,-3.189683e+01,3.911650e-02
2.787438e-11,4.715159e-13,-3.189686e+01,3.909218e-02
2.834910e-11,4.779228e-13,-3.189689e+01,3.906864e-02
2.883025e-11,4.843946e-13,-3.189692e+01,3.904865e-02
2.931791e-11,4.909317e-13,-3.189694e+01,3.902786e-02
2.981214e-11,4.975347e-13,-3.189697e+01,3.900664e-02
3.031300e-11,5.042039e-13,-3.189699e+01,3.898384e-02
3.082057e-11,5.109398e-13,-3.189701e+01,3.896701e-02
3.133490e-11,5.177428e-13,-3.189704e+01,3.894779e-02
3.185607e-11,5.246135e-13,-3.189706e+01,3.892543e-02
3.238415e-11,5.315521e-13,-3.189708e+01,3.890753e-02
3.291920e-11,5.385592e-13,-3.189711e+01,3.889162e-02
3.346129e-11,5.456352e-13,-3.189713e+01,3.887336e-02
3.401049e-11,5.527805e-13,-3.189715e+01,3.885650e-02
3.456688e-11,5.599956e-13,-3.189717e+01,3.884018e-02
3.513051e-11,5.672811e-13,-3.189719e+01,3.882443e-02
3.570146e-11,5.746372e-13,-3.189721e+01,3.881104e-02
3.627981e-11,5.820644e-13,-3.189723e+01,3.879806e-02
3.686561e-11,5.895633e-13,-3.189726e+01,3.878777e-02
3.745896e-11,5.971343e-13,-3.189729e+01,3.877108e-02
3.805991e-11,6.047778e-13,-3.189732e+01,3.875268e-02
3.866854e-11,6.124943e-13,-3.189735e+01,3.873336e-02
3.928492e-11,6.202842e-13,-3.189738e+01,3.871346e-02
3.990913e-11,6.281480e-13,-3.189742e+01,3.869387e-02
4.054124e-11,6.360862e-13,-3.189744e+01,3.867342e-02
4.118133e-11,6.440993e-13,-3.189747e+01,3.865797e-02
4.182946e-11,6.521877e-13,-3.189750e+01,3.864500e-02
4.248573e-11,6.603518e-13,-3.189753e+01,3.863140e-02
4.315019e-11,6.685922e-13,-3.189756e+01,3.861467e-02
4.382294e-11,6.769093e-13,-3.189759e+01,3.860348e-02
4.450404e-11,6.853036e-13,-3.189761e+01,3.859689e-02
4.519357e-11,6.937755e-13,-3.189764e+01,3.859195e-02
4.589162e-11,7.023256e-13,-3.189766e+01,3.858707e-02
